Ruben;;;;;;;;;;;;;;;
Gruppe A:;Resultat:;Gruppe B:;Resultat:;Gruppe C:;Resultat:;Gruppe D:;Resultat:;Gruppe E:;Resultat:;"Gruppe F;";Resultat:;Gruppe G:;Resultat:;Gruppe H:;Resultat:
Qatar-Ecuador; 1-3;England-Iran; 4-1;Argentina-Saudi Arabia;3-0 ;Denmark-Tunisia;2-0;Germany-Japan;2- 0;Morocco-Croatia;0 -3;Switzerland-Cameroon;1 -0;Uruguay-Korea Republic;3 -0
Senegal-Netherlands; 1-2;USA-Wales; 1-1 ;Mexico-Poland; 2-2 ;France-Australia ; 4-0;Spain-Costa Rica;3-0 ;Belgium-Canada; 2-0 ;Brazil-Serbia;3 -0;Portugal-Ghana; 1-0 
Qatar-Senegal; 0-2;Wales-Iran; 2-1;Poland-Saudi Arabia;2- 0;Tunisia-Australia; 1-1;Japan-Costa Rica; 1-1 ;Belgium-Morocco;4 - 0;Cameroon-Serbia; 1-1 ;Korea Republic-Ghana;2-0 
Netherlands-Ecuador;2-0;England-USA; 2-0;Argentina-Mexico; 2-1;France-Denmark; 2-0;Spain-Germany; 1-1;Croatia-Canada;1- 0;Brazil-Switzerland; 2-1;Portugal-Uruguay ;0-2 
Ecuador-Senegal; 1-1;Wales-England;   1-3;Poland-Argentina ; 2-2 ;Australia-Denmark; 0-1;Japan-Spain; 0-2;Croatia-Belgium; 1-2;Serbia-Switzerland; 1-2 ;Ghana-Uruguay ; 0-2
Netherlands-Qatar ; 3-0;Iran-USA;  1-2 ;Saudi Arabia-Mexico; 1 -1;Tunisia-France ;0- 3;Costa Rica-Germany;0- 2;Canada-Morocco; 1 -1;Cameroon-Brazil;0-2;Korea Republic-Portugal; 1-1
;;;;;;;;;;;;;;;
Iver;;;;;;;;;;;;;;;
Gruppe A:;Resultat:;Gruppe B:;Resultat:;Gruppe C:;Resultat:;Gruppe D:;Resultat:;Gruppe E:;Resultat:;"Gruppe F;";Resultat:;Gruppe G:;Resultat:;Gruppe H:;Resultat:
Qatar-Ecuador; 2-1;England-Iran; 3-0;Argentina-Saudi Arabia; 4-1;Denmark-Tunisia; 1-0;Germany-Japan; 2-1;Morocco-Croatia; 0-2;Switzerland-Cameroon; 1-0;Uruguay-Korea Republic; 1-0
Senegal-Netherlands; 1-3;USA-Wales; 1-2;Mexico-Poland; 1-1;France-Australia ; 3-1;Spain-Costa Rica; 2-0;Belgium-Canada; 3-1;Brazil-Serbia; 3-1;Portugal-Ghana; 2-1
Qatar-Senegal; 1-2;Wales-Iran; 3-1;Poland-Saudi Arabia; 3-1;Tunisia-Australia; 1-0;Japan-Costa Rica; 1-0;Belgium-Morocco; 4-0;Cameroon-Serbia; 1-1;Korea Republic-Ghana; 0-1
Netherlands-Ecuador; 2-0;England-USA; 2-0;Argentina-Mexico; 1-0;France-Denmark; 2-1;Spain-Germany; 2-2;Croatia-Canada; 3-1;Brazil-Switzerland; 2-0;Portugal-Uruguay ; 2-2
Ecuador-Senegal; 0-1;Wales-England; 1-1;Poland-Argentina ; 1 - 2;Australia-Denmark; 1-2;Japan-Spain; 1-2;Croatia-Belgium; 1-2;Serbia-Switzerland; 1-2;Ghana-Uruguay ; 1-3
Netherlands-Qatar ; 3-0;Iran-USA; 0-1;Saudi Arabia-Mexico; 0 - 2;Tunisia-France ; 1-4;Costa Rica-Germany; 0-3;Canada-Morocco; 1-1;Cameroon-Brazil; 0-4;Korea Republic-Portugal; 0-3
;;;;;;;;;;;;;;;
Martin;;;;;;;;;;;;;;;
Gruppe A:;Resultat:;Gruppe B:;Resultat:;Gruppe C:;Resultat:;Gruppe D:;Resultat:;Gruppe E:;Resultat:;"Gruppe F;";Resultat:;Gruppe G:;Resultat:;Gruppe H:;Resultat:
Qatar-Ecuador;0-2;England-Iran;3-0;Argentina-Saudi Arabia;2-0;Denmark-Tunisia;2-0;Germany-Japan;2-1;Morocco-Croatia;0-1;Switzerland-Cameroon;0-1;Uruguay-Korea Republic;1-0 
Senegal-Netherlands;0-1;USA-Wales;2-0;Mexico-Poland;1-2;France-Australia ;2-0;Spain-Costa Rica;2-0;Belgium-Canada;1-0;Brazil-Serbia;2-1;Portugal-Ghana;3-0
Qatar-Senegal;0-1;Wales-Iran;2-0;Poland-Saudi Arabia;2-0;Tunisia-Australia;0-0;Japan-Costa Rica;1-0;Belgium-Morocco;2-0;Cameroon-Serbia;0-1;Korea Republic-Ghana;1-0
Netherlands-Ecuador;1-0;England-USA;2-1;Argentina-Mexico;2-1;France-Denmark;2-1;Spain-Germany;1-3;Croatia-Canada;1- 0 ;Brazil-Switzerland;2-0;Portugal-Uruguay ;2-1
Ecuador-Senegal;0-1;Wales-England;0-1;Poland-Argentina ;0-1;Australia-Denmark;0-1;Japan-Spain;0-1;Croatia-Belgium;1-1;Serbia-Switzerland;2-0;Ghana-Uruguay ;1-2
Netherlands-Qatar ;2-0;Iran-USA;0-3;Saudi Arabia-Mexico;0-1;Tunisia-France ;2-0;Costa Rica-Germany;0-3;Canada-Morocco;0-0 ;Cameroon-Brazil;0-2;Korea Republic-Portugal;1-3
;;;;;;;;;;;;;;;
Odin;;;;;;;;;;;;;;;
Gruppe A:;Resultat:;Gruppe B:;Resultat:;Gruppe C:;Resultat:;Gruppe D:;Resultat:;Gruppe E:;Resultat:;"Gruppe F;";Resultat:;Gruppe G:;Resultat:;Gruppe H:;Resultat:
Qatar-Ecuador; 1-2;England-Iran; 3-1;Argentina-Saudi Arabia; 3-0;Denmark-Tunisia; 2-0;Germany-Japan; 3-1;Morocco-Croatia; 0-1;Switzerland-Cameroon; 3-1;Uruguay-Korea Republic; 2-1
Senegal-Netherlands; 1-3;USA-Wales;1-0;Mexico-Poland; 1-2;France-Australia ; 2-0;Spain-Costa Rica; 5-0;Belgium-Canada; 2-1;Brazil-Serbia; 2-0;Portugal-Ghana; 3-0
Qatar-Senegal; 1-1;Wales-Iran; 1-1;Poland-Saudi Arabia; 3-1;Tunisia-Australia; 2-1;Japan-Costa Rica; 2-2;Belgium-Morocco; 3-1;Cameroon-Serbia; 1-3;Korea Republic-Ghana; 2-0
Netherlands-Ecuador; 2-0;England-USA; 2-1;Argentina-Mexico; 2-0;France-Denmark;  3-1;Spain-Germany; 3-3;Croatia-Canada; 2-0;Brazil-Switzerland; 3-2;Portugal-Uruguay ; 3-1
Ecuador-Senegal; 2-2;Wales-England; 1-3;Poland-Argentina ; 2-3;Australia-Denmark; 0-2;Japan-Spain; 1-3;Croatia-Belgium; 2-3;Serbia-Switzerland; 2-1;Ghana-Uruguay ; 1-2
